label,method,beta,n_seeds,final_eval_success_rate_mean,final_eval_success_rate_ci_low,final_eval_success_rate_ci_high,best_eval_success_rate_mean,best_eval_success_rate_ci_low,best_eval_success_rate_ci_high,success_rate_auc_mean,success_rate_auc_ci_low,success_rate_auc_ci_high,final_eval_extrinsic_return_mean,final_eval_extrinsic_return_ci_low,final_eval_extrinsic_return_ci_high,first_reward_step_mean,first_reward_step_ci_low,first_reward_step_ci_high,third_reward_step_mean,third_reward_step_ci_low,third_reward_step_ci_high,training_tv_fraction_mean,training_tv_fraction_ci_low,training_tv_fraction_ci_high,position_coverage_mean,position_coverage_ci_low,position_coverage_ci_high,tail_intrinsic_inside_mean,tail_intrinsic_inside_ci_low,tail_intrinsic_inside_ci_high,tail_intrinsic_outside_mean,tail_intrinsic_outside_ci_low,tail_intrinsic_outside_ci_high,tail_inside_outside_ratio_mean,tail_inside_outside_ratio_ci_low,tail_inside_outside_ratio_ci_high,elapsed_seconds_mean,elapsed_seconds_ci_low,elapsed_seconds_ci_high
DQN,dqn,0.0,5,0.6,0.2,1.0,0.8,0.4,1.0,0.438,0.20600000000000002,0.6010000000000001,0.5622,0.1874,0.937,3797.6,2153.8,5703.2,7875.2,6091.8,9658.6,0.07974400000000001,0.07116600000000002,0.08967,1.0,1.0,1.0,,,,,,,,,,124.94403386320919,123.78842388703488,126.42098931381479
LP-RND (beta=0.01),lp_rnd,0.01,5,0.6,0.2,1.0,1.0,1.0,1.0,0.27,0.13,0.41,0.56013,0.18533000000000002,0.9349300000000001,3966.0,1934.0,5824.8,7959.6,6681.0,9301.6,0.10984599999999997,0.0929091,0.13143,1.0,1.0,1.0,0.00048138678766048413,0.0003589325317987864,0.0006297698956204355,8.839723874313338e-05,1.8021988835264548e-05,0.0002213913988693046,15.779560492731,8.708632298934427,20.73380694743348,225.73648549397475,223.54491158174352,228.10672798804006
LP-RND (beta=0.05),lp_rnd,0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.4,1837.8,4209.0,24980.8,7998.2,57004.0,0.208632,0.161776,0.252598,0.9970588235294118,0.9911764705882353,1.0,0.0005441672546379203,0.00043891011905743506,0.0006561826757559735,0.00031479943898486944,0.00015046167919222002,0.0005688072699531846,2.8003964774183387,1.3035867824674847,3.996052279817472,226.46522737531922,223.8431842705235,228.9655890371953
LP-RND (beta=0.1),lp_rnd,0.1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3487.4,1833.4,5425.4,21261.0,7232.4,43155.8,0.154416,0.11684089999999998,0.19637,1.0,1.0,1.0,0.0005776052821937187,0.00047968795282859154,0.0007179534589995066,0.000269390193293574,0.0001231722812387711,0.0004156081053483769,3.570029730514513,1.5802415491007111,5.689865324211406,222.02211156757548,220.42100348020904,223.70620805011131
RND (beta=0.01),rnd,0.01,5,0.36,0.0,0.76,0.6,0.2,1.0,0.17800000000000002,0.03,0.3542499999999986,0.30968999999999997,0.0,0.68449,3703.8,1811.4,5929.8,9894.0,6753.4,13217.6,0.10632199999999999,0.094948,0.118696,1.0,1.0,1.0,0.008915655989602651,0.007678616704102431,0.010244790763879569,0.0002761278611297138,0.00013556682483896584,0.0004545734569066024,45.4191284206381,27.66016178163711,64.92403149876598,217.8281173204072,216.02877768906765,219.4638652737718
RND (beta=0.05),rnd,0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.8,1589.6,5410.2,18689.0,5315.6,42987.2,0.19683200000000003,0.142732,0.26446000000000003,0.9970588235294118,0.9911764705882353,1.0,0.012366458475793202,0.011309016133971436,0.013409744757626931,0.0018433803882809067,0.0007281685507609961,0.0032118387486798823,11.62532609912368,5.446966157396391,17.80368604085097,218.09150563417933,216.46623770422303,220.35476577216758
RND (beta=0.1),rnd,0.1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4606.6,2122.8,7228.8,17812.0,11909.8,23714.2,0.17595999999999998,0.12118199999999998,0.23111079999999998,0.9970588235294118,0.9911764705882353,1.0,0.012993212808081986,0.011457934234253422,0.014943757015877754,0.001706071472473658,0.000787739528559259,0.002624403416388057,13.653804615377746,5.135742677954734,22.161162855936464,217.7796342076268,216.70643042188718,219.08296722881497
