step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction,method,beta,seed,label
20000,0.0,0.0,200.0,0.1955,lp_rnd,0.01,2,LP-RND (beta=0.01)
30000,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
40000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,2,LP-RND (beta=0.01)
50000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,2,LP-RND (beta=0.01)
60000,0.9280000000000002,1.0,16.0,0.0625,lp_rnd,0.01,2,LP-RND (beta=0.01)
70000,0.0,0.0,200.0,0.229,lp_rnd,0.01,2,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
90000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,2,LP-RND (beta=0.01)
100000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,2,LP-RND (beta=0.01)
0,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.7485,lp_rnd,0.01,3,LP-RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
30000,0.0,0.0,200.0,0.012,lp_rnd,0.01,3,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.01925,lp_rnd,0.01,3,LP-RND (beta=0.01)
50000,0.0,0.0,200.0,0.16325,lp_rnd,0.01,3,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,0.34375,lp_rnd,0.01,3,LP-RND (beta=0.01)
70000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,3,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
90000,0.0,0.0,200.0,0.05475,lp_rnd,0.01,3,LP-RND (beta=0.01)
100000,0.0,0.0,200.0,0.01,lp_rnd,0.01,3,LP-RND (beta=0.01)
0,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.01475,lp_rnd,0.01,4,LP-RND (beta=0.01)
20000,0.0,0.0,200.0,0.087,lp_rnd,0.01,4,LP-RND (beta=0.01)
30000,0.9280000000000002,1.0,16.0,0.0625,lp_rnd,0.01,4,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
50000,0.0,0.0,200.0,0.01,lp_rnd,0.01,4,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,0.01825,lp_rnd,0.01,4,LP-RND (beta=0.01)
70000,0.0,0.0,200.0,0.9035,lp_rnd,0.01,4,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
90000,0.0,0.0,200.0,0.0065,lp_rnd,0.01,4,LP-RND (beta=0.01)
100000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
0,0.0,0.0,200.0,0.9125,lp_rnd,0.05,0,LP-RND (beta=0.05)
10000,0.0,0.0,200.0,0.005,lp_rnd,0.05,0,LP-RND (beta=0.05)
20000,0.0,0.0,200.0,0.8095,lp_rnd,0.05,0,LP-RND (beta=0.05)
30000,0.0,0.0,200.0,0.02725,lp_rnd,0.05,0,LP-RND (beta=0.05)
40000,0.0,0.0,200.0,0.09325,lp_rnd,0.05,0,LP-RND (beta=0.05)
50000,0.0,0.0,200.0,0.0065,lp_rnd,0.05,0,LP-RND (beta=0.05)
60000,0.0,0.0,200.0,0.13275,lp_rnd,0.05,0,LP-RND (beta=0.05)
70000,0.0,0.0,200.0,0.103,lp_rnd,0.05,0,LP-RND (beta=0.05)
80000,0.0,0.0,200.0,0.2155,lp_rnd,0.05,0,LP-RND (beta=0.05)
90000,0.0,0.0,200.0,0.997,lp_rnd,0.05,0,LP-RND (beta=0.05)
100000,0.0,0.0,200.0,0.0065,lp_rnd,0.05,0,LP-RND (beta=0.05)
0,0.0,0.0,200.0,1.0,lp_rnd,0.05,1,LP-RND (beta=0.05)
10000,0.0,0.0,200.0,0.01725,lp_rnd,0.05,1,LP-RND (beta=0.05)
20000,0.0,0.0,200.0,0.0655,lp_rnd,0.05,1,LP-RND (beta=0.05)
30000,0.0,0.0,200.0,0.02475,lp_rnd,0.05,1,LP-RND (beta=0.05)
40000,0.0,0.0,200.0,0.0655,lp_rnd,0.05,1,LP-RND (beta=0.05)
50000,0.0,0.0,200.0,0.33025,lp_rnd,0.05,1,LP-RND (beta=0.05)
60000,0.0,0.0,200.0,0.049,lp_rnd,0.05,1,LP-RND (beta=0.05)
70000,0.0,0.0,200.0,0.13,lp_rnd,0.05,1,LP-RND (beta=0.05)
80000,0.0,0.0,200.0,0.49475,lp_rnd,0.05,1,LP-RND (beta=0.05)
90000,0.0,0.0,200.0,0.99925,lp_rnd,0.05,1,LP-RND (beta=0.05)
100000,0.0,0.0,200.0,0.0125,lp_rnd,0.05,1,LP-RND (beta=0.05)
0,0.0,0.0,200.0,0.005,lp_rnd,0.05,2,LP-RND (beta=0.05)
10000,0.0,0.0,200.0,0.084,lp_rnd,0.05,2,LP-RND (beta=0.05)
20000,0.0,0.0,200.0,0.40425,lp_rnd,0.05,2,LP-RND (beta=0.05)
30000,0.0,0.0,200.0,0.0055,lp_rnd,0.05,2,LP-RND (beta=0.05)
40000,0.0,0.0,200.0,0.00875,lp_rnd,0.05,2,LP-RND (beta=0.05)
50000,0.0,0.0,200.0,0.177,lp_rnd,0.05,2,LP-RND (beta=0.05)
60000,0.0,0.0,200.0,0.3835,lp_rnd,0.05,2,LP-RND (beta=0.05)
70000,0.0,0.0,200.0,0.79575,lp_rnd,0.05,2,LP-RND (beta=0.05)
80000,0.0,0.0,200.0,0.028,lp_rnd,0.05,2,LP-RND (beta=0.05)
90000,0.0,0.0,200.0,0.005,lp_rnd,0.05,2,LP-RND (beta=0.05)
100000,0.0,0.0,200.0,0.01,lp_rnd,0.05,2,LP-RND (beta=0.05)
0,0.0,0.0,200.0,0.005,lp_rnd,0.05,3,LP-RND (beta=0.05)
10000,0.0,0.0,200.0,0.0075,lp_rnd,0.05,3,LP-RND (beta=0.05)
20000,0.0,0.0,200.0,0.74325,lp_rnd,0.05,3,LP-RND (beta=0.05)
30000,0.0,0.0,200.0,0.19925,lp_rnd,0.05,3,LP-RND (beta=0.05)
40000,0.0,0.0,200.0,0.026,lp_rnd,0.05,3,LP-RND (beta=0.05)
50000,0.0,0.0,200.0,0.01425,lp_rnd,0.05,3,LP-RND (beta=0.05)
60000,0.0,0.0,200.0,0.45125,lp_rnd,0.05,3,LP-RND (beta=0.05)
70000,0.0,0.0,200.0,0.018,lp_rnd,0.05,3,LP-RND (beta=0.05)
80000,0.0,0.0,200.0,0.58775,lp_rnd,0.05,3,LP-RND (beta=0.05)
90000,0.0,0.0,200.0,0.00525,lp_rnd,0.05,3,LP-RND (beta=0.05)
100000,0.0,0.0,200.0,0.01,lp_rnd,0.05,3,LP-RND (beta=0.05)
0,0.0,0.0,200.0,0.005,lp_rnd,0.05,4,LP-RND (beta=0.05)
10000,0.0,0.0,200.0,0.02325,lp_rnd,0.05,4,LP-RND (beta=0.05)
20000,0.0,0.0,200.0,0.0615,lp_rnd,0.05,4,LP-RND (beta=0.05)
30000,0.0,0.0,200.0,0.3395,lp_rnd,0.05,4,LP-RND (beta=0.05)
40000,0.0,0.0,200.0,0.028,lp_rnd,0.05,4,LP-RND (beta=0.05)
50000,0.0,0.0,200.0,0.067,lp_rnd,0.05,4,LP-RND (beta=0.05)
60000,0.0,0.0,200.0,0.61325,lp_rnd,0.05,4,LP-RND (beta=0.05)
70000,0.0,0.0,200.0,0.12225,lp_rnd,0.05,4,LP-RND (beta=0.05)
80000,0.0,0.0,200.0,0.50625,lp_rnd,0.05,4,LP-RND (beta=0.05)
90000,0.0,0.0,200.0,0.01025,lp_rnd,0.05,4,LP-RND (beta=0.05)
100000,0.0,0.0,200.0,0.005,lp_rnd,0.05,4,LP-RND (beta=0.05)
0,0.0,0.0,200.0,0.9125,lp_rnd,0.1,0,LP-RND (beta=0.1)
10000,0.0,0.0,200.0,0.95025,lp_rnd,0.1,0,LP-RND (beta=0.1)
20000,0.0,0.0,200.0,0.085,lp_rnd,0.1,0,LP-RND (beta=0.1)
30000,0.0,0.0,200.0,0.045,lp_rnd,0.1,0,LP-RND (beta=0.1)
40000,0.0,0.0,200.0,0.04625,lp_rnd,0.1,0,LP-RND (beta=0.1)
50000,0.0,0.0,200.0,0.029,lp_rnd,0.1,0,LP-RND (beta=0.1)
60000,0.0,0.0,200.0,0.036,lp_rnd,0.1,0,LP-RND (beta=0.1)
70000,0.0,0.0,200.0,0.017,lp_rnd,0.1,0,LP-RND (beta=0.1)
80000,0.0,0.0,200.0,0.0115,lp_rnd,0.1,0,LP-RND (beta=0.1)
90000,0.0,0.0,200.0,0.009,lp_rnd,0.1,0,LP-RND (beta=0.1)
100000,0.0,0.0,200.0,0.01975,lp_rnd,0.1,0,LP-RND (beta=0.1)
0,0.0,0.0,200.0,1.0,lp_rnd,0.1,1,LP-RND (beta=0.1)
10000,0.0,0.0,200.0,0.0245,lp_rnd,0.1,1,LP-RND (beta=0.1)
20000,0.0,0.0,200.0,0.005,lp_rnd,0.1,1,LP-RND (beta=0.1)
30000,0.0,0.0,200.0,0.0135,lp_rnd,0.1,1,LP-RND (beta=0.1)
40000,0.0,0.0,200.0,0.019,lp_rnd,0.1,1,LP-RND (beta=0.1)
50000,0.0,0.0,200.0,0.2205,lp_rnd,0.1,1,LP-RND (beta=0.1)
60000,0.0,0.0,200.0,0.095,lp_rnd,0.1,1,LP-RND (beta=0.1)
70000,0.0,0.0,200.0,0.01125,lp_rnd,0.1,1,LP-RND (beta=0.1)
80000,0.0,0.0,200.0,0.0255,lp_rnd,0.1,1,LP-RND (beta=0.1)
90000,0.0,0.0,200.0,0.17775,lp_rnd,0.1,1,LP-RND (beta=0.1)
100000,0.0,0.0,200.0,0.031,lp_rnd,0.1,1,LP-RND (beta=0.1)
0,0.0,0.0,200.0,0.005,lp_rnd,0.1,2,LP-RND (beta=0.1)
10000,0.0,0.0,200.0,0.1395,lp_rnd,0.1,2,LP-RND (beta=0.1)
20000,0.0,0.0,200.0,0.77375,lp_rnd,0.1,2,LP-RND (beta=0.1)
30000,0.0,0.0,200.0,0.008,lp_rnd,0.1,2,LP-RND (beta=0.1)
40000,0.0,0.0,200.0,0.005,lp_rnd,0.1,2,LP-RND (beta=0.1)
50000,0.0,0.0,200.0,0.0195,lp_rnd,0.1,2,LP-RND (beta=0.1)
60000,0.0,0.0,200.0,0.02275,lp_rnd,0.1,2,LP-RND (beta=0.1)
70000,0.0,0.0,200.0,0.0145,lp_rnd,0.1,2,LP-RND (beta=0.1)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.1,2,LP-RND (beta=0.1)
90000,0.0,0.0,200.0,0.006,lp_rnd,0.1,2,LP-RND (beta=0.1)
100000,0.0,0.0,200.0,0.0865,lp_rnd,0.1,2,LP-RND (beta=0.1)
0,0.0,0.0,200.0,0.005,lp_rnd,0.1,3,LP-RND (beta=0.1)
10000,0.0,0.0,200.0,0.71075,lp_rnd,0.1,3,LP-RND (beta=0.1)
20000,0.0,0.0,200.0,0.29125,lp_rnd,0.1,3,LP-RND (beta=0.1)
30000,0.0,0.0,200.0,0.12275,lp_rnd,0.1,3,LP-RND (beta=0.1)
40000,0.0,0.0,200.0,0.19675,lp_rnd,0.1,3,LP-RND (beta=0.1)
50000,0.0,0.0,200.0,0.0065,lp_rnd,0.1,3,LP-RND (beta=0.1)
60000,0.0,0.0,200.0,0.403,lp_rnd,0.1,3,LP-RND (beta=0.1)
70000,0.0,0.0,200.0,0.00575,lp_rnd,0.1,3,LP-RND (beta=0.1)
80000,0.0,0.0,200.0,0.0325,lp_rnd,0.1,3,LP-RND (beta=0.1)
90000,0.0,0.0,200.0,0.128,lp_rnd,0.1,3,LP-RND (beta=0.1)
100000,0.0,0.0,200.0,0.46375,lp_rnd,0.1,3,LP-RND (beta=0.1)
0,0.0,0.0,200.0,0.005,lp_rnd,0.1,4,LP-RND (beta=0.1)
10000,0.0,0.0,200.0,0.0455,lp_rnd,0.1,4,LP-RND (beta=0.1)
20000,0.0,0.0,200.0,0.045,lp_rnd,0.1,4,LP-RND (beta=0.1)
30000,0.0,0.0,200.0,0.05225,lp_rnd,0.1,4,LP-RND (beta=0.1)
40000,0.0,0.0,200.0,0.03675,lp_rnd,0.1,4,LP-RND (beta=0.1)
50000,0.0,0.0,200.0,0.28725,lp_rnd,0.1,4,LP-RND (beta=0.1)
60000,0.0,0.0,200.0,0.084,lp_rnd,0.1,4,LP-RND (beta=0.1)
70000,0.0,0.0,200.0,0.02575,lp_rnd,0.1,4,LP-RND (beta=0.1)
80000,0.0,0.0,200.0,0.03075,lp_rnd,0.1,4,LP-RND (beta=0.1)
90000,0.0,0.0,200.0,0.0235,lp_rnd,0.1,4,LP-RND (beta=0.1)
100000,0.0,0.0,200.0,0.019,lp_rnd,0.1,4,LP-RND (beta=0.1)
0,0.0,0.0,200.0,0.9125,rnd,0.01,0,RND (beta=0.01)
10000,0.0,0.0,200.0,0.10775,rnd,0.01,0,RND (beta=0.01)
20000,0.0,0.0,200.0,0.023,rnd,0.01,0,RND (beta=0.01)
30000,0.0,0.0,200.0,0.006,rnd,0.01,0,RND (beta=0.01)
40000,0.0,0.0,200.0,0.01,rnd,0.01,0,RND (beta=0.01)
50000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
60000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
70000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
80000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
90000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
100000,0.6114499999999999,0.8,81.9,0.86996336996337,rnd,0.01,0,RND (beta=0.01)
0,0.0,0.0,200.0,1.0,rnd,0.01,1,RND (beta=0.01)
10000,0.0,0.0,200.0,0.0155,rnd,0.01,1,RND (beta=0.01)
20000,0.0,0.0,200.0,0.0125,rnd,0.01,1,RND (beta=0.01)
30000,0.0,0.0,200.0,0.053,rnd,0.01,1,RND (beta=0.01)
40000,0.0,0.0,200.0,0.006,rnd,0.01,1,RND (beta=0.01)
50000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
60000,0.0,0.0,200.0,0.01,rnd,0.01,1,RND (beta=0.01)
70000,0.0,0.0,200.0,0.011,rnd,0.01,1,RND (beta=0.01)
80000,0.0,0.0,200.0,0.4635,rnd,0.01,1,RND (beta=0.01)
90000,0.0,0.0,200.0,0.01,rnd,0.01,1,RND (beta=0.01)
100000,0.0,0.0,200.0,0.01,rnd,0.01,1,RND (beta=0.01)
0,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
10000,0.0,0.0,200.0,0.01025,rnd,0.01,2,RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
30000,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
40000,0.0,0.0,200.0,0.006,rnd,0.01,2,RND (beta=0.01)
50000,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
60000,0.0,0.0,200.0,0.015,rnd,0.01,2,RND (beta=0.01)
70000,0.0,0.0,200.0,0.006,rnd,0.01,2,RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
90000,0.9280000000000002,1.0,16.0,0.0625,rnd,0.01,2,RND (beta=0.01)
