step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.154,0.154,0.5,34,123,258,nan,nan,nan,nan,nan,nan,0.0026739598251879215,nan
2000,0.165,0.1595,0.6764705882352942,46,160,457,nan,nan,nan,nan,nan,nan,0.00019089694599551876,nan
3000,0.175,0.16466666666666666,0.7205882352941176,49,181,652,nan,nan,nan,nan,nan,nan,0.00037876331805455264,nan
4000,0.154,0.162,0.7647058823529411,52,190,815,nan,nan,nan,nan,nan,nan,0.00010943455794222245,nan
5000,0.14,0.1576,0.7647058823529411,52,191,956,nan,nan,nan,nan,nan,nan,8.149278312339447e-05,nan
6000,0.109,0.1495,0.8382352941176471,57,218,1091,nan,nan,nan,nan,nan,nan,3.03765792800732e-05,nan
7000,0.046,0.1347142857142857,0.8529411764705882,58,224,1143,nan,nan,nan,nan,nan,nan,1.939268884552803e-05,nan
8000,0.162,0.138125,0.8529411764705882,58,224,1305,nan,nan,nan,nan,nan,nan,1.3736384765024922e-05,nan
9000,0.092,0.133,0.9411764705882353,64,243,1416,nan,nan,nan,nan,nan,nan,1.9765250328873663e-05,nan
10000,0.09,0.1287,0.9705882352941176,66,252,1514,nan,nan,nan,nan,nan,nan,1.3214360731126362e-05,nan
11000,0.131,0.12890909090909092,0.9852941176470589,67,258,1649,nan,nan,nan,nan,nan,nan,1.874949904117784e-05,nan
12000,0.157,0.13125,0.9852941176470589,67,259,1807,nan,nan,nan,nan,nan,nan,2.152213514250434e-05,nan
13000,0.055,0.12538461538461537,0.9852941176470589,67,265,1868,nan,nan,nan,nan,nan,nan,3.612886648033964e-05,nan
14000,0.122,0.12514285714285714,0.9852941176470589,67,265,1990,nan,nan,nan,nan,nan,nan,6.055439281453801e-05,nan
15000,0.126,0.1252,1.0,68,270,2120,nan,nan,nan,nan,nan,nan,7.897055187822843e-05,nan
16000,0.096,0.123375,1.0,68,270,2216,nan,nan,nan,nan,nan,nan,0.00012178701514858404,nan
17000,0.113,0.12276470588235294,1.0,68,271,2330,nan,nan,nan,nan,nan,nan,0.0001686606107359694,nan
18000,0.104,0.12172222222222222,1.0,68,271,2434,nan,nan,nan,nan,nan,nan,0.00021549617939854216,nan
19000,0.071,0.11905263157894737,1.0,68,271,2505,nan,nan,nan,nan,nan,nan,0.0002878178540668159,nan
20000,0.104,0.1183,1.0,68,271,2609,nan,nan,nan,nan,nan,nan,0.0003465454090328421,nan
21000,0.088,0.11685714285714285,1.0,68,271,2697,nan,nan,nan,nan,nan,nan,0.0004058892309694784,nan
22000,0.104,0.11627272727272728,1.0,68,271,2801,nan,nan,nan,nan,nan,nan,0.0005164564534570672,nan
23000,0.057,0.11369565217391304,1.0,68,271,2858,nan,nan,nan,nan,nan,nan,0.0005553787714088685,nan
24000,0.053,0.11116666666666666,1.0,68,271,2911,nan,nan,nan,nan,nan,nan,0.0006310793980155722,nan
25000,0.053,0.10884,1.0,68,271,2964,nan,nan,nan,nan,nan,nan,0.0006177593171851185,nan
26000,0.071,0.10738461538461538,1.0,68,271,3035,nan,nan,nan,nan,nan,nan,0.0005509905466569762,nan
27000,0.069,0.10596296296296297,1.0,68,271,3104,nan,nan,nan,nan,nan,nan,0.00044765395194554003,nan
28000,0.073,0.10478571428571429,1.0,68,271,3177,nan,nan,nan,nan,nan,nan,0.0003796653454155603,nan
29000,0.074,0.10372413793103448,1.0,68,271,3251,nan,nan,nan,nan,nan,nan,0.0004212645002044155,nan
30000,0.076,0.1028,1.0,68,271,3327,nan,nan,nan,nan,nan,nan,0.00035596426093616174,nan
31000,0.06,0.10141935483870967,1.0,68,271,3387,nan,nan,nan,nan,nan,nan,0.0003202397421209753,nan
32000,0.111,0.10171875,1.0,68,271,3498,nan,nan,nan,nan,nan,nan,0.0003078066444286378,nan
33000,0.098,0.1016060606060606,1.0,68,271,3596,nan,nan,nan,nan,nan,nan,0.00028675247913270143,nan
34000,0.086,0.10114705882352941,1.0,68,271,3682,nan,nan,nan,nan,nan,nan,0.0002943661168010294,nan
35000,0.062,0.10002857142857143,1.0,68,271,3744,nan,nan,nan,nan,nan,nan,0.00029893318905487834,nan
36000,0.131,0.10088888888888889,1.0,68,271,3875,nan,nan,nan,nan,nan,nan,0.00033224368909577607,nan
37000,0.09,0.10059459459459459,1.0,68,271,3965,nan,nan,nan,nan,nan,nan,0.0002551840493415511,nan
38000,0.089,0.10028947368421053,1.0,68,271,4054,nan,nan,nan,nan,nan,nan,0.0002746174534977399,nan
39000,0.052,0.09905128205128205,1.0,68,271,4106,nan,nan,nan,nan,nan,nan,0.0003001861209413619,nan
40000,0.045,0.0977,1.0,68,271,4151,nan,nan,nan,nan,nan,nan,0.00030282918897682975,nan
41000,0.068,0.09697560975609756,1.0,68,271,4219,nan,nan,nan,nan,nan,nan,0.0002530058758911764,nan
42000,0.033,0.09545238095238096,1.0,68,271,4252,nan,nan,nan,nan,nan,nan,0.0003175833010172937,nan
43000,0.047,0.09432558139534884,1.0,68,271,4299,nan,nan,nan,nan,nan,nan,0.0002343031350737874,nan
44000,0.022,0.09268181818181818,1.0,68,271,4321,nan,nan,nan,nan,nan,nan,0.0002576331688087521,nan
45000,0.037,0.09144444444444444,1.0,68,271,4358,nan,nan,nan,nan,nan,nan,0.0002208180550915131,nan
46000,0.047,0.09047826086956522,1.0,68,271,4405,nan,nan,nan,nan,nan,nan,0.0002515295957509807,nan
47000,0.267,0.09423404255319148,1.0,68,271,4672,nan,nan,nan,nan,nan,nan,0.0002136334325368807,nan
48000,0.48,0.10227083333333334,1.0,68,271,5152,nan,nan,nan,nan,nan,nan,0.00023393987033159646,nan
49000,0.128,0.10279591836734694,1.0,68,271,5280,nan,nan,nan,nan,nan,nan,0.0002046046348627897,nan
50000,0.071,0.10216,1.0,68,271,5351,nan,nan,nan,nan,nan,nan,0.00020270751224597916,nan
51000,0.048,0.10109803921568628,1.0,68,271,5399,nan,nan,nan,nan,nan,nan,0.00019178017650119727,nan
52000,0.06,0.1003076923076923,1.0,68,271,5459,nan,nan,nan,nan,nan,nan,0.0002045907725514553,nan
53000,0.074,0.09981132075471698,1.0,68,271,5533,nan,nan,nan,nan,nan,nan,0.00021658812226633018,nan
54000,0.069,0.09924074074074074,1.0,68,271,5602,nan,nan,nan,nan,nan,nan,0.00017913212119674427,nan
55000,0.076,0.09881818181818182,1.0,68,271,5678,nan,nan,nan,nan,nan,nan,0.0001910289448403546,nan
56000,0.064,0.09819642857142857,1.0,68,271,5742,nan,nan,nan,nan,nan,nan,0.0002188194440859661,nan
57000,0.076,0.09780701754385965,1.0,68,271,5818,nan,nan,nan,nan,nan,nan,0.00022725511479120542,nan
58000,0.066,0.09725862068965517,1.0,68,271,5884,nan,nan,nan,nan,nan,nan,0.00021544828075138866,nan
59000,0.078,0.09693220338983051,1.0,68,271,5962,nan,nan,nan,nan,nan,nan,0.0001969914936166788,nan
60000,0.06,0.09631666666666666,1.0,68,271,6022,nan,nan,nan,nan,nan,nan,0.00020569811631094125,nan
61000,0.131,0.09688524590163934,1.0,68,271,6153,nan,nan,nan,nan,nan,nan,0.00023590926932592993,nan
62000,0.086,0.09670967741935484,1.0,68,271,6239,nan,nan,nan,nan,nan,nan,0.00023961273092572811,nan
63000,0.064,0.09619047619047619,1.0,68,271,6303,nan,nan,nan,nan,nan,nan,0.00019283694695423038,nan
64000,0.057,0.095578125,1.0,68,271,6360,nan,nan,nan,nan,nan,nan,0.0002103234995988714,nan
65000,0.076,0.09527692307692308,1.0,68,271,6436,nan,nan,nan,nan,nan,nan,0.00018236909594952522,nan
66000,0.073,0.09493939393939393,1.0,68,271,6509,nan,nan,nan,nan,nan,nan,0.0001901498637455461,nan
67000,0.082,0.09474626865671641,1.0,68,271,6591,nan,nan,nan,nan,nan,nan,0.00020350645922917465,nan
68000,0.062,0.09426470588235294,1.0,68,271,6653,nan,nan,nan,nan,nan,nan,0.00018437399177537373,nan
69000,0.073,0.09395652173913044,1.0,68,271,6726,nan,nan,nan,nan,nan,nan,0.00017351689169731798,nan
