step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.135,0.135,0.7352941176470589,50,169,281,0.007752568236793633,0.007454263468978205,0.0,0.0,0.0,0.0,0.001452164025977254,0.007483081892132759
2000,0.112,0.1235,0.7794117647058824,53,198,421,0.0009094044239645882,0.00036949025341298465,0.00673951325422552,0.006975465704821184,2.5461553338809333,2.6429360798628414,0.0002503444968315307,0.00040720344891087735
3000,0.099,0.11533333333333333,0.7794117647058824,53,208,530,0.0001162695863802748,5.637419707586918e-05,4.324091879434583e-05,2.0277097210903138e-05,0.0126467142644569,0.005854695066772923,0.00042516170706949195,4.351234743990062e-05
4000,0.163,0.12725,0.8088235294117647,55,216,701,7.639839873682033e-05,2.4354849927768906e-05,1.6163075026738932e-05,7.197480168861202e-06,0.005103385482915704,0.002279480777533808,0.00014992432981307503,2.421252760632342e-05
5000,0.068,0.1154,0.8088235294117647,55,219,772,5.3040040203246894e-05,1.5948340422252152e-05,5.840342590304585e-06,4.519111472886873e-06,0.0019885540999995937,0.001561055263404807,8.472004310533521e-05,1.6227806318056535e-05
6000,0.178,0.12583333333333332,0.8088235294117647,55,219,950,4.1109945168806986e-05,5.105011899980032e-06,4.3575228936675925e-06,9.542550633150446e-07,0.001619135753472182,0.0003518215031670036,7.868030365352752e-05,1.1561556182186905e-05
7000,0.072,0.11814285714285715,0.8823529411764706,60,232,1035,3.326224282318435e-05,9.961297388176247e-06,2.842022872250204e-06,1.283371881655171e-06,0.0011198012115104785,0.0005083603622837979,6.623564125948179e-05,8.727567742880638e-06
8000,0.132,0.119875,0.8970588235294118,61,236,1171,2.948339573721927e-05,5.962987058965961e-06,2.3001911441414533e-06,7.610896861273608e-07,0.0009663416533983362,0.0003178308529284706,6.3214536770829e-05,7.251203045143484e-06
9000,0.091,0.11666666666666667,0.8970588235294118,61,236,1262,2.8079267584681663e-05,5.4484643341366595e-06,1.8552475092212341e-06,8.904716101766524e-07,0.0008225871320103962,0.000390844972753461,7.904174629038607e-05,6.045010427442321e-06
10000,0.103,0.1153,0.9558823529411765,65,251,1377,2.7298696357284974e-05,8.018405841377052e-06,1.4720587908246248e-06,7.018541891495662e-07,0.0006843592619298126,0.0003249223085749496,6.867961227726483e-05,5.438014174615091e-06
11000,0.116,0.11536363636363636,0.9558823529411765,65,251,1493,2.6536480602552382e-05,3.3816810731175995e-06,1.1917538107934826e-06,4.8585739308292e-07,0.000576068166638993,0.00023587539696457018,6.794649440780631e-05,4.8662822734968355e-06
12000,0.213,0.1235,0.9705882352941176,66,255,1710,2.507092186776941e-05,6.478330265659948e-06,1.4786198757782343e-06,4.5769030383881313e-07,0.0007455665340777061,0.00022785684291584126,7.081632432709739e-05,4.663935683765885e-06
13000,0.135,0.12438461538461539,0.9705882352941176,66,255,1845,2.172408357081521e-05,2.781640760617203e-06,1.367772354030792e-06,2.9685384360238795e-07,0.0007215651314059878,0.00015468824222432176,7.852297407225706e-05,4.320433080692964e-06
14000,0.302,0.13707142857142857,0.9705882352941176,66,255,2147,2.216011393138374e-05,1.3968440069468436e-06,1.2160081640959467e-06,1.353486800688606e-07,0.000660654284661324,7.329909665220694e-05,8.407670911037712e-05,4.111133670221534e-06
15000,0.292,0.1474,0.9705882352941176,66,255,2439,2.194474775198415e-05,1.925747629960687e-06,1.24045527315988e-06,2.964136937808075e-07,0.0006939509179067213,0.0001666967281316417,7.962720106479538e-05,4.084282092094327e-06
16000,0.212,0.1514375,0.9852941176470589,67,266,2661,1.998024552938419e-05,9.148735220660999e-06,8.223828444897663e-07,5.356542396103568e-07,0.0004744152809355883,0.0003098749848971954,0.00011014774204522837,4.185121108434942e-06
17000,0.244,0.15688235294117647,0.9852941176470589,67,266,2905,1.9751393482856955e-05,1.4075666836626705e-06,8.408015919932771e-07,9.746153156712839e-08,0.0005008137040117709,5.779484184389705e-05,0.0001477529152743955,4.0833371242570134e-06
18000,0.186,0.1585,0.9852941176470589,67,266,3091,1.8449129515585067e-05,4.699630976140197e-07,8.156549161104786e-07,4.4581903548032865e-08,0.0004977084215288636,2.7267104221943496e-05,0.00015050890315978905,3.868744843657623e-06
19000,0.153,0.15821052631578947,0.9852941176470589,67,266,3244,1.8731716123761098e-05,1.7125776971619504e-06,6.93852378544702e-07,1.397019783507697e-07,0.0004355649965570937,8.794138236540592e-05,0.00019336370601376985,3.695821795076881e-06
20000,0.187,0.15965,1.0,68,268,3433,1.783967607791279e-05,2.928925212219294e-06,5.429979806493863e-07,1.7976927064080666e-07,0.0003488146854092827,0.00011457661268451573,0.00021876562684883537,3.6451082747817053e-06
21000,0.199,0.16152380952380951,1.0,68,268,3632,1.7491940817861214e-05,8.068033538888477e-07,6.203152581256107e-07,1.0388479272543723e-07,0.00040729229921454536,6.8339512128505e-05,0.00022208987510748558,3.553434830905644e-06
22000,0.056,0.15672727272727272,1.0,68,268,3688,1.609829209720764e-05,2.9602773079469128e-06,5.08160878455653e-07,3.234055755776437e-07,0.00034143943968857566,0.0002178758556149304,0.00024362935025419574,3.4582904401077032e-06
23000,0.033,0.15134782608695652,1.0,68,269,3722,1.576376345121499e-05,3.959188084346507e-06,4.986834414232748e-07,5.27780813588059e-07,0.0003428749995051702,0.00036395400563997725,0.00028592830896741363,3.288472413828458e-06
24000,0.039,0.14666666666666667,1.0,68,271,3763,1.667193164860528e-05,4.395579840017857e-06,9.231195387352878e-07,7.031922691706756e-07,0.0006465391332841499,0.0004950358668763032,0.0003292034488658828,3.2297112094283874e-06
25000,0.029,0.14196,1.0,68,271,3792,1.6169910787570628e-05,1.7698046748705798e-06,1.0576511691585343e-06,1.782615263009102e-07,0.0007569465533679646,0.00012769808827882873,0.00032347145499079486,3.05888892251005e-06
26000,0.034,0.1378076923076923,1.0,68,271,3826,1.4545698832080234e-05,2.1983856259945143e-06,3.8091861022300746e-07,2.239413855035051e-07,0.0002787160722687036,0.00016367978215024514,0.000299863335203554,2.9638841048154065e-06
