episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,44.9244140438403,0,0.29
1,400,200,0.0,49.94093252095759,0,0.12
2,600,200,0.0,50.0,0,0.155
3,800,200,0.0,50.0,0,0.085
4,1000,200,0.0,50.0,0,0.285
5,1200,200,0.0,11.465687754477393,0,0.14
6,1400,200,0.0,0.8666345689895849,0,0.295
7,1592,192,0.136,0.5110567108884174,1,0.03125
8,1792,200,0.0,0.21954226161926915,0,0.1
9,1992,200,0.0,0.2354654823682938,0,0.15
10,2192,200,0.0,0.1601771673363604,0,0.085
11,2392,200,0.0,0.23167204335373673,0,0.065
12,2592,200,0.0,0.26302883453221304,0,0.105
13,2792,200,0.0,0.0532229955727807,0,0.1
14,2992,200,0.0,0.27213727962425677,0,0.045
15,3192,200,0.0,0.08066615290715243,0,0.295
16,3392,200,0.0,0.06950281789188151,0,0.25
17,3592,200,0.0,0.07788644605039853,0,0.22
18,3766,174,0.21699999999999997,0.2738204165810501,1,0.13793103448275862
19,3966,200,0.0,0.063169183398525,0,0.315
20,4166,200,0.0,0.04986956626370673,0,0.26
21,4366,200,0.0,0.03172101077788365,0,0.135
22,4566,200,0.0,0.027847151484424036,0,0.15
23,4766,200,0.0,0.09589623860818447,0,0.05
24,4966,200,0.0,0.02487680405171324,0,0.13
25,5166,200,0.0,0.02646522127210566,0,0.14
26,5366,200,0.0,0.08642401086355689,0,0.24
27,5566,200,0.0,0.03036169719976824,0,0.185
28,5766,200,0.0,0.05667050008648258,0,0.035
29,5966,200,0.0,0.03304580963404376,0,0.24
30,6166,200,0.0,0.03248677479690068,0,0.235
31,6366,200,0.0,0.05939819811261228,0,0.43
32,6566,200,0.0,0.04567115322375061,0,0.365
33,6766,200,0.0,0.021017791163096558,0,0.15
34,6966,200,0.0,0.05838529137730109,0,0.215
35,7166,200,0.0,0.02801024695448416,0,0.225
36,7366,200,0.0,0.0448090513379599,0,0.025
37,7566,200,0.0,0.019498327998767755,0,0.165
38,7766,200,0.0,0.027339755221595475,0,0.24
39,7966,200,0.0,0.013489045347344455,0,0.07
40,8082,116,0.478,0.5860886749593105,1,0.034482758620689655
41,8282,200,0.0,0.019204070263660222,0,0.15
42,8482,200,0.0,0.07143053351575111,0,0.005
43,8682,200,0.0,0.0412652303195171,0,0.38
44,8882,200,0.0,0.03044381914970166,0,0.3
45,9082,200,0.0,0.03773302153137083,0,0.17
46,9282,200,0.0,0.026932578106018006,0,0.015
47,9482,200,0.0,0.05085459832502305,0,0.12
48,9682,200,0.0,0.031029922084411864,0,0.11
49,9882,200,0.0,0.014242046904728075,0,0.115
50,10082,200,0.0,0.019541545967305514,0,0.195
51,10282,200,0.0,0.037815163478704325,0,0.06
52,10482,200,0.0,0.030339312015715394,0,0.315
53,10682,200,0.0,0.03151627498388986,0,0.005
54,10882,200,0.0,0.03412965583373196,0,0.34
55,11082,200,0.0,0.01951210172757695,0,0.16
56,11282,200,0.0,0.03742216708754213,0,0.005
57,11482,200,0.0,0.015831268680382916,0,0.14
58,11682,200,0.0,0.03317510355729521,0,0.185
59,11882,200,0.0,0.0465234845044986,0,0.475
60,12073,191,0.14050000000000007,0.17212528371065194,1,0.1099476439790576
61,12273,200,0.0,0.016365152272800623,0,0.155
62,12473,200,0.0,0.026692424679596097,0,0.155
63,12673,200,0.0,0.023189013988483977,0,0.225
64,12873,200,0.0,0.0304122487417695,0,0.32
65,13073,200,0.0,0.02051399862622663,0,0.08
66,13273,200,0.0,0.017762953812664493,0,0.06
67,13473,200,0.0,0.02436587064552898,0,0.08
68,13673,200,0.0,0.09229393107117694,0,0.075
