step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction
0,0.0,0.0,200.0,0.005
10000,0.0,0.0,200.0,0.127
20000,0.0,0.0,200.0,0.48075
30000,0.0,0.0,200.0,0.038
40000,0.0,0.0,200.0,0.027
50000,0.0,0.0,200.0,0.01
60000,0.0,0.0,200.0,0.01
70000,0.0,0.0,200.0,0.01
80000,0.0,0.0,200.0,0.01
90000,0.0,0.0,200.0,0.012
100000,0.0,0.0,200.0,0.077
