episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,0.0,0,0.205
1,400,200,0.0,0.0,0,0.145
2,600,200,0.0,0.0,0,0.26
3,800,200,0.0,0.0,0,0.04
4,1000,200,0.0,0.0,0,0.025
5,1200,200,0.0,0.0,0,0.085
6,1400,200,0.0,0.0,0,0.085
7,1600,200,0.0,0.0,0,0.075
8,1800,200,0.0,0.0,0,0.105
9,2000,200,0.0,0.0,0,0.145
10,2200,200,0.0,0.0,0,0.25
11,2400,200,0.0,0.0,0,0.25
12,2600,200,0.0,0.0,0,0.01
13,2800,200,0.0,0.0,0,0.055
14,3000,200,0.0,0.0,0,0.14
15,3200,200,0.0,0.0,0,0.28
16,3400,200,0.0,0.0,0,0.2
17,3600,200,0.0,0.0,0,0.175
18,3800,200,0.0,0.0,0,0.165
19,4000,200,0.0,0.0,0,0.195
20,4200,200,0.0,0.0,0,0.02
21,4400,200,0.0,0.0,0,0.05
22,4600,200,0.0,0.0,0,0.005
23,4800,200,0.0,0.0,0,0.345
24,5000,200,0.0,0.0,0,0.115
25,5200,200,0.0,0.0,0,0.065
26,5400,200,0.0,0.0,0,0.205
27,5600,200,0.0,0.0,0,0.025
28,5800,200,0.0,0.0,0,0.335
29,6000,200,0.0,0.0,0,0.23
30,6200,200,0.0,0.0,0,0.03
31,6400,200,0.0,0.0,0,0.025
32,6600,200,0.0,0.0,0,0.065
33,6800,200,0.0,0.0,0,0.015
34,6878,78,0.649,0.649,1,0.02564102564102564
35,7078,200,0.0,0.0,0,0.07
36,7278,200,0.0,0.0,0,0.11
37,7478,200,0.0,0.0,0,0.025
38,7678,200,0.0,0.0,0,0.105
39,7878,200,0.0,0.0,0,0.28
40,8078,200,0.0,0.0,0,0.085
41,8278,200,0.0,0.0,0,0.205
42,8478,200,0.0,0.0,0,0.345
43,8678,200,0.0,0.0,0,0.265
44,8878,200,0.0,0.0,0,0.195
45,9078,200,0.0,0.0,0,0.225
46,9278,200,0.0,0.0,0,0.15
47,9478,200,0.0,0.0,0,0.01
48,9678,200,0.0,0.0,0,0.115
