step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.153,0.153,0.4117647058823529,28,105,102,nan,nan,nan,nan,nan,nan,0.0027000396512448788,nan
2000,0.173,0.163,0.6029411764705882,41,151,144,nan,nan,nan,nan,nan,nan,0.0001714577144566647,nan
3000,0.173,0.16633333333333333,0.7205882352941176,49,182,175,nan,nan,nan,nan,nan,nan,0.00033793708380835594,nan
4000,0.162,0.16525,0.7205882352941176,49,187,179,nan,nan,nan,nan,nan,nan,9.630386397475376e-05,nan
5000,0.082,0.1486,0.7647058823529411,52,207,199,nan,nan,nan,nan,nan,nan,7.365388127891492e-05,nan
6000,0.095,0.13966666666666666,0.7647058823529411,52,207,199,nan,nan,nan,nan,nan,nan,4.617832764279228e-05,nan
7000,0.182,0.1457142857142857,0.8088235294117647,55,217,209,nan,nan,nan,nan,nan,nan,3.9942358740063356e-05,nan
8000,0.231,0.156375,0.8088235294117647,55,217,209,nan,nan,nan,nan,nan,nan,4.036317973714176e-05,nan
9000,0.191,0.1602222222222222,0.9264705882352942,63,241,233,nan,nan,nan,nan,nan,nan,3.2266018371956306e-05,nan
10000,0.29,0.1732,0.9264705882352942,63,241,233,nan,nan,nan,nan,nan,nan,5.189589254041493e-05,nan
11000,0.266,0.18163636363636362,0.9264705882352942,63,241,233,nan,nan,nan,nan,nan,nan,3.224428158500814e-05,nan
12000,0.348,0.1955,0.9264705882352942,63,241,233,nan,nan,nan,nan,nan,nan,2.5574254137382013e-05,nan
13000,0.306,0.204,0.9705882352941176,66,258,248,nan,nan,nan,nan,nan,nan,2.94401131043287e-05,nan
14000,0.251,0.20735714285714285,0.9705882352941176,66,258,248,nan,nan,nan,nan,nan,nan,3.456478686780429e-05,nan
15000,0.176,0.20526666666666665,0.9705882352941176,66,258,248,nan,nan,nan,nan,nan,nan,4.064375508437479e-05,nan
16000,0.226,0.2065625,0.9705882352941176,66,259,249,nan,nan,nan,nan,nan,nan,5.933892949406072e-05,nan
17000,0.099,0.20023529411764707,0.9852941176470589,67,263,252,nan,nan,nan,nan,nan,nan,6.0486273475135024e-05,nan
18000,0.162,0.1981111111111111,0.9852941176470589,67,263,252,nan,nan,nan,nan,nan,nan,6.442672868251976e-05,nan
19000,0.11,0.19347368421052633,0.9852941176470589,67,263,252,nan,nan,nan,nan,nan,nan,8.080586792902978e-05,nan
20000,0.165,0.19205,1.0,68,270,258,nan,nan,nan,nan,nan,nan,9.482701461911347e-05,nan
21000,0.037,0.18466666666666667,1.0,68,270,258,nan,nan,nan,nan,nan,nan,0.00013703843538769435,nan
22000,0.058,0.1789090909090909,1.0,68,270,258,nan,nan,nan,nan,nan,nan,0.00018786338800600788,nan
23000,0.067,0.17404347826086958,1.0,68,270,258,nan,nan,nan,nan,nan,nan,0.000251780442994459,nan
24000,0.066,0.16954166666666667,1.0,68,270,258,nan,nan,nan,nan,nan,nan,0.0003333744808769552,nan
25000,0.039,0.16432,1.0,68,270,258,nan,nan,nan,nan,nan,nan,0.00039191578119789484,nan
26000,0.013,0.1585,1.0,68,270,258,nan,nan,nan,nan,nan,nan,0.0004187627383544168,nan
27000,0.016,0.15322222222222223,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.000492874372012011,nan
28000,0.022,0.1485357142857143,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.0004824947839442757,nan
29000,0.027,0.1443448275862069,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.0004988110667945875,nan
30000,0.02,0.1402,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00047707669152805465,nan
31000,0.05,0.13729032258064516,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00040991107391528204,nan
32000,0.028,0.133875,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.0003409922969967738,nan
33000,0.19,0.13557575757575757,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00032693743088020713,nan
34000,0.015,0.1320294117647059,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00022171583005365392,nan
35000,0.01,0.12854285714285715,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00017494782926223706,nan
36000,0.021,0.12555555555555556,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00015947120710188757,nan
37000,0.013,0.12251351351351351,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00012042555820426059,nan
38000,0.009,0.11952631578947369,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00011826934026157688,nan
39000,0.017,0.1168974358974359,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00013559824425647094,nan
40000,0.009,0.1142,1.0,68,271,259,nan,nan,nan,nan,nan,nan,0.00010464864620507796,nan
41000,0.013,0.11173170731707317,1.0,68,271,259,nan,nan,nan,nan,nan,nan,9.239144368621055e-05,nan
42000,0.009,0.10928571428571429,1.0,68,271,259,nan,nan,nan,nan,nan,nan,8.799020479455066e-05,nan
43000,0.011,0.107,1.0,68,271,259,nan,nan,nan,nan,nan,nan,7.628713684016475e-05,nan
44000,0.026,0.10515909090909091,1.0,68,271,259,nan,nan,nan,nan,nan,nan,7.229048859153408e-05,nan
45000,0.025,0.10337777777777778,1.0,68,271,259,nan,nan,nan,nan,nan,nan,5.976220276079402e-05,nan
46000,0.042,0.10204347826086957,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.7693697300019265e-05,nan
47000,0.01,0.10008510638297873,1.0,68,271,259,nan,nan,nan,nan,nan,nan,5.0436373610864397e-05,nan
48000,0.024,0.0985,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.610765105871906e-05,nan
49000,0.043,0.09736734693877551,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.4427115519056316e-05,nan
50000,0.241,0.10024,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.030650410231829e-05,nan
51000,0.058,0.09941176470588235,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.9660272853770945e-05,nan
52000,0.03,0.09807692307692308,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.42981656046868e-05,nan
53000,0.352,0.10286792452830189,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.1462174969638e-05,nan
54000,0.1,0.10281481481481482,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.6471659473818365e-05,nan
55000,0.038,0.10163636363636364,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.5249621890670824e-05,nan
56000,0.013,0.10005357142857142,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.484193302847416e-05,nan
57000,0.01,0.09847368421052631,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.0781765292649654e-05,nan
58000,0.177,0.09982758620689655,1.0,68,271,259,nan,nan,nan,nan,nan,nan,2.9811356742129648e-05,nan
59000,0.238,0.10216949152542373,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.0231502607080073e-05,nan
60000,0.011,0.10065,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.503033232721009e-05,nan
61000,0.01,0.0991639344262295,1.0,68,271,259,nan,nan,nan,nan,nan,nan,2.8572359539452918e-05,nan
62000,0.156,0.10008064516129032,1.0,68,271,259,nan,nan,nan,nan,nan,nan,4.011076507185862e-05,nan
63000,0.011,0.09866666666666667,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.19620095059463e-05,nan
64000,0.014,0.09734375,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.449290787671089e-05,nan
65000,0.357,0.10133846153846154,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.325257764072376e-05,nan
66000,0.038,0.10037878787878787,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.079308020937788e-05,nan
67000,0.012,0.09905970149253732,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.301235394292234e-05,nan
68000,0.028,0.09801470588235293,1.0,68,271,259,nan,nan,nan,nan,nan,nan,2.8977656340316573e-05,nan
69000,0.017,0.09684057971014493,1.0,68,271,259,nan,nan,nan,nan,nan,nan,2.5623626016454182e-05,nan
70000,0.079,0.09658571428571429,1.0,68,271,259,nan,nan,nan,nan,nan,nan,3.125985510996543e-05,nan
