step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.153,0.153,0.4117647058823529,28,105,102,0.006560473833720084,0.006786378649192056,0.0,0.0,0.0,0.0,0.0027000396512448788,0.006768057122826576
2000,0.162,0.1575,0.6029411764705882,41,143,137,0.0004994042843845594,0.0003237304044787032,0.005936851244948712,0.006325321395932597,2.436531805580144,2.6166880447778462,0.0002760090157389641,0.0003397339777548041
3000,0.088,0.13433333333333333,0.6617647058823529,45,170,163,2.8814240811863616e-05,5.711897355185731e-05,1.6745507960794466e-05,2.7209404214096666e-05,0.00536843534618637,0.008835134711141059,0.0004370908687706105,2.641348238739738e-05
4000,0.075,0.1195,0.7205882352941176,49,189,181,8.80560955920373e-06,3.3388568338375846e-05,5.3205061946452286e-06,9.088994771150897e-06,0.0018971539027281806,0.0031875614511488928,0.00020494317914926795,1.4894995382292109e-05
5000,0.139,0.1234,0.7352941176470589,50,200,192,5.118677782781737e-06,1.8300850451447103e-05,1.917351008539541e-06,5.103287918242072e-06,0.0007324919205247247,0.001955155624620041,0.00013007332698907704,8.608193975305766e-06
6000,0.148,0.1275,0.9411764705882353,64,236,224,2.9285637333794363e-06,2.2675855492608065e-05,8.932683088589231e-07,9.66008005714507e-07,0.00036992555177382136,0.0003906145773572187,0.0001120087615599914,7.154327274520256e-06
7000,0.119,0.12628571428571428,0.9411764705882353,64,237,225,1.5332021722055548e-06,4.967837981597722e-06,7.70937764390961e-07,1.4337889597288477e-06,0.0003402030545305337,0.0006327700658671955,7.28231542489084e-05,4.4215253235506675e-06
8000,0.156,0.13,0.9411764705882353,64,237,225,9.66037000820891e-07,3.98491687198045e-06,3.210879985824879e-07,6.026858282369028e-07,0.00015039707501241252,0.00027998503838447475,6.390075228227943e-05,3.1646443768522657e-06
9000,0.095,0.12611111111111112,0.9411764705882353,64,237,225,6.624458729962307e-07,2.9850073033759904e-06,1.34673643970018e-07,7.647285160427014e-07,6.604692562443712e-05,0.0003770474831912191,5.442370144282904e-05,2.2878444889897766e-06
10000,0.178,0.1313,0.9411764705882353,64,237,225,4.722486219505432e-07,4.2742782658268197e-07,8.837417613186221e-08,1.555462664105124e-07,4.541561730558427e-05,8.04124129291457e-05,5.0491802283431755e-05,1.6969067589798214e-06
11000,0.235,0.14072727272727273,0.9411764705882353,64,237,225,3.0134392427813276e-07,7.443663461626457e-07,7.249975923625552e-08,9.798533908845463e-08,3.894721433558274e-05,5.286120402155654e-05,4.712500137338793e-05,1.2396135397523267e-06
12000,0.166,0.14283333333333334,0.9411764705882353,64,237,225,2.244570470265378e-07,2.4721324307055896e-06,6.657438089964178e-08,3.4041774680885363e-07,3.72655692416128e-05,0.0001908550886224318,4.076245129363088e-05,1.032560594609322e-06
13000,0.202,0.1473846153846154,0.9852941176470589,67,247,235,2.0315725367767624e-07,3.615560330784393e-06,3.471178477767434e-08,2.790096248675913e-07,2.0216963845675518e-05,0.00016277902955037364,3.972147456170205e-05,9.700616671182162e-07
14000,0.283,0.15707142857142858,0.9852941176470589,67,247,235,1.5758137181311847e-07,5.049444900960444e-07,6.527390166343861e-08,8.453997535986331e-08,3.9283913541999836e-05,5.0969415484291956e-05,3.303903902906313e-05,8.277946265593527e-07
