step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction
0,0.0,0.0,200.0,1.0
10000,0.0,0.0,200.0,0.005
20000,0.0,0.0,200.0,0.005
30000,0.0,0.0,200.0,0.01
40000,0.0,0.0,200.0,1.0
50000,0.0,0.0,200.0,1.0
60000,0.0,0.0,200.0,0.01
70000,0.0,0.0,200.0,0.01
80000,0.0,0.0,200.0,0.02
90000,0.9325000000000001,1.0,15.0,0.13333333333333333
100000,0.0,0.0,200.0,0.01
