episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,38.93332255541944,0,0.015
1,400,200,0.0,49.64381379069007,0,0.19
2,600,200,0.0,49.965097794752275,0,0.125
3,800,200,0.0,50.0,0,0.32
4,900,100,0.55,25.515196571122654,1,0.08
5,1100,200,0.0,36.27521660590507,0,0.28
6,1300,200,0.0,2.0125418532440245,0,0.075
7,1500,200,0.0,0.7276564012993527,0,0.275
8,1700,200,0.0,0.43480332099294394,0,0.235
9,1900,200,0.0,0.3810600799718871,0,0.28
10,2100,200,0.0,0.1998007624467526,0,0.13
11,2300,200,0.0,0.36172911959556636,0,0.07
12,2500,200,0.0,0.09556492975349852,0,0.115
13,2700,200,0.0,0.08886721266286354,0,0.1
14,2818,118,0.469,0.6620274769178468,1,0.1694915254237288
15,2895,77,0.6535,0.7494126409724587,1,0.18181818181818182
16,3073,178,0.19899999999999995,0.4769896999811538,1,0.2696629213483146
17,3273,200,0.0,0.05916701124637466,0,0.07
18,3369,96,0.5680000000000001,0.676438353894332,1,0.052083333333333336
19,3477,108,0.514,0.5952591807891001,1,0.2222222222222222
20,3677,200,0.0,0.05456219653229689,0,0.145
21,3877,200,0.0,0.13414421110000108,0,0.12
22,4077,200,0.0,0.06184142889049403,0,0.215
23,4277,200,0.0,0.04745948992266947,0,0.165
24,4477,200,0.0,0.049147867030211484,0,0.16
25,4677,200,0.0,0.08514861242546501,0,0.055
26,4877,200,0.0,0.025365423806172,0,0.095
27,5077,200,0.0,0.09426401686432895,0,0.15
28,5277,200,0.0,0.23578706660580168,0,0.08
29,5477,200,0.0,0.04316771837353234,0,0.195
30,5677,200,0.0,0.13809161450088128,0,0.045
31,5877,200,0.0,0.04110114540911608,0,0.105
32,6077,200,0.0,0.032080592412315805,0,0.05
33,6277,200,0.0,0.07802997102733127,0,0.075
34,6477,200,0.0,0.09224193128766338,0,0.11
35,6677,200,0.0,0.028986716315806443,0,0.045
36,6877,200,0.0,0.05638308408455646,0,0.335
37,7077,200,0.0,0.06062741712016559,0,0.26
38,7277,200,0.0,0.027255681142386634,0,0.12
39,7477,200,0.0,0.02430037623982939,0,0.13
40,7677,200,0.0,0.05979556419282653,0,0.37
41,7877,200,0.0,0.028454888590550478,0,0.155
42,8077,200,0.0,0.020590614824772393,0,0.12
43,8277,200,0.0,0.04368483150753562,0,0.205
44,8477,200,0.0,0.06812869695830077,0,0.145
45,8677,200,0.0,0.03549200968194774,0,0.23
46,8877,200,0.0,0.0177658595491911,0,0.105
47,9077,200,0.0,0.05688928532153433,0,0.05
48,9277,200,0.0,0.04818933840031798,0,0.305
49,9477,200,0.0,0.07842855200508077,0,0.03
50,9677,200,0.0,0.04696670063919867,0,0.055
51,9877,200,0.0,0.025061947697434292,0,0.155
52,10077,200,0.0,0.015962737371730675,0,0.1
53,10277,200,0.0,0.02868227293138129,0,0.15
54,10477,200,0.0,0.030959180559370775,0,0.19
55,10677,200,0.0,0.013396409101530478,0,0.07
56,10877,200,0.0,0.04519984065849052,0,0.125
57,11077,200,0.0,0.020428138186652237,0,0.135
58,11277,200,0.0,0.01721490994551787,0,0.01
59,11477,200,0.0,0.033087142122852596,0,0.215
60,11677,200,0.0,0.0250440220973668,0,0.17
61,11877,200,0.0,0.05992542677196025,0,0.08
62,12077,200,0.0,0.033561844779228175,0,0.205
63,12277,200,0.0,0.05516794003345539,0,0.385
64,12477,200,0.0,0.018994841292661907,0,0.075
65,12677,200,0.0,0.05180187173262003,0,0.095
66,12877,200,0.0,0.06254192424340785,0,0.42
67,13077,200,0.0,0.04097774528636936,0,0.06
68,13277,200,0.0,0.050616632082907134,0,0.345
69,13477,200,0.0,0.10879570043766704,0,0.045
70,13637,160,0.2799999999999999,0.33363040695980617,1,0.08125
71,13837,200,0.0,0.037321143072294505,0,0.245
72,14037,200,0.0,0.0363422794298856,0,0.005
73,14237,200,0.0,0.039052123327044524,0,0.225
74,14437,200,0.0,0.0630471368467507,0,0.415
75,14637,200,0.0,0.0445239832097809,0,0.32
76,14825,188,0.15400000000000003,0.17941333766177864,1,0.1595744680851064
77,15025,200,0.0,0.0480038134039295,0,0.345
78,15225,200,0.0,0.041433637570619,0,0.255
79,15425,200,0.0,0.04863663663903105,0,0.31
80,15625,200,0.0,0.04163919294819061,0,0.08
81,15710,85,0.6174999999999999,0.6248558518996195,1,0.058823529411764705
82,15910,200,0.0,0.06793519061926431,0,0.485
83,16110,200,0.0,0.05210643008976337,0,0.39
84,16310,200,0.0,0.037232128565580044,0,0.245
85,16510,200,0.0,0.019861456390677795,0,0.135
86,16710,200,0.0,0.03202238629961114,0,0.18
87,16910,200,0.0,0.028430013964699394,0,0.2
88,17110,200,0.0,0.04096004923046749,0,0.295
89,17310,200,0.0,0.06490803454794246,0,0.475
90,17510,200,0.0,0.058547839663147645,0,0.34
91,17710,200,0.0,0.055042322618082944,0,0.345
92,17910,200,0.0,0.038518380665835864,0,0.225
93,18110,200,0.0,0.06149345547209943,0,0.225
94,18241,131,0.4105,0.4498024579000609,1,0.35877862595419846
95,18336,95,0.5725,0.5957308062747926,1,0.30526315789473685
96,18536,200,0.0,0.02029095603703822,0,0.005
97,18736,200,0.0,0.05537703349368038,0,0.015
98,18936,200,0.0,0.023036044266197566,0,0.13
99,19136,200,0.0,0.16509994644038767,0,0.27
100,19336,200,0.0,0.05239582558804104,0,0.37
101,19536,200,0.0,0.03041034055141902,0,0.185
102,19736,200,0.0,0.0802136511513631,0,0.59
103,19936,200,0.0,0.017592712138206682,0,0.035
104,20136,200,0.0,0.06908041288630681,0,0.525
105,20336,200,0.0,0.06860172234511172,0,0.515
106,20536,200,0.0,0.061877653708375016,0,0.475
107,20736,200,0.0,0.06289646507381016,0,0.465
108,20936,200,0.0,0.06085310795798154,0,0.415
109,21136,200,0.0,0.026036543290265193,0,0.19
110,21336,200,0.0,0.02672212682273959,0,0.175
111,21536,200,0.0,0.016119191512440328,0,0.095
112,21728,192,0.136,0.15466494911231848,1,0.09895833333333333
113,21928,200,0.0,0.02658062822079447,0,0.19
114,22128,200,0.0,0.03788615908449203,0,0.27
115,22328,200,0.0,0.02038008780740829,0,0.13
116,22528,200,0.0,0.033762077104546,0,0.245
117,22728,200,0.0,0.009063343339565228,0,0.06
118,22928,200,0.0,0.0489406840279611,0,0.35
119,23128,200,0.0,0.029595616559515755,0,0.2
120,23328,200,0.0,0.020685642062208305,0,0.14
121,23528,200,0.0,0.05262466704235773,0,0.37
122,23728,200,0.0,0.04249598818073976,0,0.305
123,23928,200,0.0,0.04102689227148425,0,0.255
124,24128,200,0.0,0.03091638083413547,0,0.225
125,24328,200,0.0,0.01792837904594037,0,0.115
126,24528,200,0.0,0.030849155271216316,0,0.23
127,24728,200,0.0,0.0332899414074723,0,0.05
128,24928,200,0.0,0.02000230323370934,0,0.095
129,25128,200,0.0,0.05138803827935557,0,0.4
130,25328,200,0.0,0.015298550749120515,0,0.035
131,25528,200,0.0,0.020070977765191046,0,0.005
132,25728,200,0.0,0.036346354636599985,0,0.25
133,25928,200,0.0,0.009931138694939308,0,0.045
134,26128,200,0.0,0.02651650297488361,0,0.195
135,26328,200,0.0,0.018283887416001766,0,0.105
136,26528,200,0.0,0.014830479509370935,0,0.11
137,26728,200,0.0,0.008342475055312971,0,0.025
138,26928,200,0.0,0.011780433378941796,0,0.005
139,27128,200,0.0,0.007809895935625762,0,0.005
140,27328,200,0.0,0.013918808596755977,0,0.08
141,27528,200,0.0,0.007913991554437505,0,0.005
142,27728,200,0.0,0.028154751296517316,0,0.16
143,27928,200,0.0,0.013894915416786249,0,0.09
144,28128,200,0.0,0.007666864155084122,0,0.015
145,28328,200,0.0,0.005897897846700952,0,0.005
146,28528,200,0.0,0.011225125201977765,0,0.045
147,28728,200,0.0,0.014159832639625752,0,0.07
148,28928,200,0.0,0.005530027521491425,0,0.015
149,29128,200,0.0,0.00870990561742106,0,0.01
150,29328,200,0.0,0.009934328945523064,0,0.01
151,29528,200,0.0,0.005855007931988589,0,0.005
152,29728,200,0.0,0.007322992500293308,0,0.015
153,29928,200,0.0,0.012927879294977873,0,0.025
154,30128,200,0.0,0.007623967640528425,0,0.005
155,30328,200,0.0,0.00500323826503218,0,0.02
156,30528,200,0.0,0.0043114855448810946,0,0.01
157,30728,200,0.0,0.009275570591694843,0,0.015
158,30928,200,0.0,0.00849421736839771,0,0.015
159,31128,200,0.0,0.01238161417792671,0,0.035
160,31328,200,0.0,0.010571554610447204,0,0.005
161,31528,200,0.0,0.011899675648208687,0,0.025
162,31728,200,0.0,0.013480263855642253,0,0.1
163,31928,200,0.0,0.014649061767444073,0,0.045
164,32128,200,0.0,0.01578249354505604,0,0.05
165,32328,200,0.0,0.01477910180171695,0,0.095
166,32528,200,0.0,0.007272521770194442,0,0.045
167,32728,200,0.0,0.021496205421906465,0,0.105
168,32928,200,0.0,0.008804754353841504,0,0.015
169,33128,200,0.0,0.015282294611932732,0,0.055
170,33328,200,0.0,0.008367078799875737,0,0.005
171,33528,200,0.0,0.015194130532339936,0,0.08
172,33728,200,0.0,0.023893158695086472,0,0.14
173,33928,200,0.0,0.0077851021484561635,0,0.005
174,34128,200,0.0,0.015969254765207153,0,0.1
175,34328,200,0.0,0.00810228494661867,0,0.04
176,34528,200,0.0,0.011480849314100395,0,0.06
177,34728,200,0.0,0.02430593579652646,0,0.155
178,34928,200,0.0,0.013855873352857304,0,0.065
179,35128,200,0.0,0.008007341376671903,0,0.02
180,35328,200,0.0,0.013774395749266036,0,0.055
181,35528,200,0.0,0.007357660513277182,0,0.005
182,35728,200,0.0,0.008326806688608449,0,0.015
183,35928,200,0.0,0.006914304904327475,0,0.015
184,36128,200,0.0,0.006204721332783654,0,0.015
185,36328,200,0.0,0.0175679280750986,0,0.115
186,36528,200,0.0,0.004056549567859561,0,0.005
187,36728,200,0.0,0.004298943713910178,0,0.005
188,36928,200,0.0,0.005688159993892217,0,0.005
189,37128,200,0.0,0.028686531639427852,0,0.2
190,37328,200,0.0,0.02842587611727089,0,0.14
191,37528,200,0.0,0.009162698584489199,0,0.005
192,37728,200,0.0,0.01842150979353735,0,0.095
193,37928,200,0.0,0.035134374734704245,0,0.24
194,38128,200,0.0,0.04204971369292785,0,0.215
195,38328,200,0.0,0.022334182389970918,0,0.115
196,38528,200,0.0,0.008110030619881041,0,0.015
197,38728,200,0.0,0.035388357295274175,0,0.16
198,38928,200,0.0,0.006868602167696949,0,0.015
199,39128,200,0.0,0.0066322490689112905,0,0.015
200,39328,200,0.0,0.0067591992878185065,0,0.015
201,39528,200,0.0,0.03544871062361223,0,0.005
202,39728,200,0.0,0.025348171208225814,0,0.155
203,39928,200,0.0,0.023269339916679142,0,0.135
204,40128,200,0.0,0.02280395630556396,0,0.14
205,40328,200,0.0,0.004623074323853666,0,0.005
206,40528,200,0.0,0.005936191152272187,0,0.005
207,40728,200,0.0,0.0060048736587427305,0,0.015
208,40928,200,0.0,0.004536619727320044,0,0.005
209,41128,200,0.0,0.026076483641707466,0,0.16
210,41328,200,0.0,0.005147101208578598,0,0.015
