step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction
0,0.0,0.0,200.0,1.0
10000,0.0,0.0,200.0,0.01725
20000,0.0,0.0,200.0,0.0655
30000,0.0,0.0,200.0,0.02475
40000,0.0,0.0,200.0,0.0655
50000,0.0,0.0,200.0,0.33025
60000,0.0,0.0,200.0,0.049
70000,0.0,0.0,200.0,0.13
80000,0.0,0.0,200.0,0.49475
90000,0.0,0.0,200.0,0.99925
100000,0.0,0.0,200.0,0.0125
