episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,9.25207875721909,0,0.205
1,400,200,0.0,10.000000000000007,0,0.145
2,600,200,0.0,10.000000000000007,0,0.26
3,800,200,0.0,10.000000000000007,0,0.04
4,1000,200,0.0,10.000000000000007,0,0.025
5,1200,200,0.0,2.9024188818053718,0,0.145
6,1400,200,0.0,0.14374040500881113,0,0.065
7,1600,200,0.0,0.10261515812375274,0,0.075
8,1800,200,0.0,0.034627157206142074,0,0.105
9,2000,200,0.0,0.04350440687872485,0,0.21
10,2200,200,0.0,0.054244889444555994,0,0.07
11,2400,200,0.0,0.045485207477553316,0,0.15
12,2600,200,0.0,0.029135374216898317,0,0.26
13,2800,200,0.0,0.032371234569567385,0,0.01
14,3000,200,0.0,0.024422302548028452,0,0.025
15,3200,200,0.0,0.022566284232612067,0,0.345
16,3400,200,0.0,0.02175592116280264,0,0.175
17,3600,200,0.0,0.016077650978247256,0,0.29
18,3800,200,0.0,0.009601877126553892,0,0.155
19,4000,200,0.0,0.01366453302773565,0,0.27
20,4200,200,0.0,0.009512681899899901,0,0.175
21,4400,200,0.0,0.019740950053713083,0,0.015
22,4600,200,0.0,0.01020763385112255,0,0.21
23,4800,200,0.0,0.015250464645512827,0,0.125
24,5000,200,0.0,0.009159783740880927,0,0.215
25,5200,200,0.0,0.009903171971217718,0,0.275
26,5400,200,0.0,0.007715376505928773,0,0.24
27,5600,200,0.0,0.008091258100732709,0,0.25
28,5800,200,0.0,0.008030052781248435,0,0.06
29,6000,200,0.0,0.005954430552569704,0,0.22
30,6200,200,0.0,0.003751512207998599,0,0.11
31,6400,200,0.0,0.02134194607278773,0,0.01
32,6600,200,0.0,0.004044900493305776,0,0.14
33,6800,200,0.0,0.006563984518692761,0,0.045
34,7000,200,0.0,0.00791678381260862,0,0.305
35,7200,200,0.0,0.005209341747091331,0,0.215
36,7400,200,0.0,0.00891672188253444,0,0.225
37,7600,200,0.0,0.002464265181943162,0,0.09
38,7800,200,0.0,0.00537572328156787,0,0.215
39,8000,200,0.0,0.0055640268709492595,0,0.235
40,8125,125,0.4375,0.4520427507074773,1,0.024
41,8325,200,0.0,0.011293222484695319,0,0.005
42,8525,200,0.0,0.003632240107095314,0,0.15
43,8688,163,0.26650000000000007,0.27178124122123215,1,0.07975460122699386
44,8888,200,0.0,0.007678247864167212,0,0.04
45,9063,175,0.21250000000000002,0.22438633273748282,1,0.017142857142857144
46,9263,200,0.0,0.0028216103549206038,0,0.12
47,9463,200,0.0,0.005784715504590986,0,0.03
48,9663,200,0.0,0.0017319841650038643,0,0.08
