episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,7.786664511083882,0,0.015
1,400,200,0.0,9.928762758138026,0,0.19
2,600,200,0.0,9.993019558950463,0,0.125
3,800,200,0.0,10.000000000000007,0,0.32
4,900,100,0.55,5.543039314224522,1,0.08
5,1100,200,0.0,7.255043321181005,0,0.28
6,1300,200,0.0,0.38723597885173827,0,0.21
7,1500,200,0.0,0.13977414037145788,0,0.275
8,1700,200,0.0,0.08257772675416125,0,0.3
9,1900,200,0.0,0.08788636027784372,0,0.28
10,2100,200,0.0,0.03783793584596178,0,0.13
11,2300,200,0.0,0.07916429874712534,0,0.07
12,2500,200,0.0,0.060413135731180435,0,0.065
13,2700,200,0.0,0.01853430311407918,0,0.115
14,2900,200,0.0,0.016415015058358132,0,0.125
15,3100,200,0.0,0.022917279442959064,0,0.33
16,3300,200,0.0,0.040637704266342244,0,0.14
17,3500,200,0.0,0.014226063945329341,0,0.23
18,3655,155,0.3025,0.31933430743174573,1,0.12903225806451613
19,3855,200,0.0,0.028689824876250374,0,0.03
20,4055,200,0.0,0.011754263330676959,0,0.195
21,4255,200,0.0,0.008468717704521147,0,0.105
22,4455,200,0.0,0.008135772492798416,0,0.015
23,4655,200,0.0,0.007396390589970864,0,0.11
24,4855,200,0.0,0.008991404551351887,0,0.2
25,5055,200,0.0,0.019426573330806045,0,0.105
26,5255,200,0.0,0.020252502392208927,0,0.115
27,5455,200,0.0,0.01513777591231446,0,0.155
28,5655,200,0.0,0.00794371977412472,0,0.19
29,5855,200,0.0,0.008621845288750525,0,0.205
30,6055,200,0.0,0.05748961386983275,0,0.08
31,6255,200,0.0,0.006456691406388567,0,0.145
32,6455,200,0.0,0.011161304106858618,0,0.25
33,6537,82,0.631,0.6630262104019322,1,0.012195121951219513
34,6602,65,0.7075,0.7137098198876788,1,0.16923076923076924
35,6802,200,0.0,0.0046570170792719435,0,0.095
36,7002,200,0.0,0.007686703394934893,0,0.115
37,7202,200,0.0,0.03719134292288536,0,0.15
38,7402,200,0.0,0.04185921402739234,0,0.01
39,7592,190,0.14500000000000002,0.15416806902947452,1,0.22105263157894736
40,7792,200,0.0,0.012348896283154257,0,0.415
41,7992,200,0.0,0.011770422298935447,0,0.37
42,8192,200,0.0,0.058788684733289326,0,0.02
43,8392,200,0.0,0.006364903240373378,0,0.025
44,8592,200,0.0,0.00660077554295409,0,0.185
45,8792,200,0.0,0.004970203815591948,0,0.145
46,8992,200,0.0,0.01941560816561774,0,0.02
47,9192,200,0.0,0.010917921015921518,0,0.36
48,9392,200,0.0,0.02000123112504349,0,0.07
49,9592,200,0.0,0.0033872861084568253,0,0.105
50,9792,200,0.0,0.005804983537287251,0,0.165
51,9964,172,0.22599999999999998,0.23898221523740312,1,0.046511627906976744
52,10164,200,0.0,0.00349859911420879,0,0.09
53,10364,200,0.0,0.009772992506968042,0,0.09
54,10564,200,0.0,0.011616519373487339,0,0.11
55,10692,128,0.42399999999999993,0.4362132643582838,1,0.0078125
56,10892,200,0.0,0.006952085297688161,0,0.21
57,11092,200,0.0,0.005271171321030184,0,0.145
58,11292,200,0.0,0.004701731134624401,0,0.16
59,11492,200,0.0,0.00949875276082418,0,0.32
60,11692,200,0.0,0.0031677265460233308,0,0.08
61,11782,90,0.595,0.5991966929282776,1,0.2111111111111111
62,11959,177,0.20350000000000001,0.2137048013009953,1,0.0847457627118644
