step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction
0,0.0,0.0,200.0,0.005
10000,0.0,0.0,200.0,0.06575
20000,0.0,0.0,200.0,0.005
30000,0.0,0.0,200.0,0.01
40000,0.68205,0.75,65.1,0.0944700460829493
50000,0.0,0.0,200.0,0.005
60000,0.0,0.0,200.0,0.04
70000,0.23335,0.25,153.7,0.01594014313597918
80000,0.0,0.0,200.0,0.005
90000,0.937,1.0,14.0,0.07142857142857142
100000,0.0,0.0,200.0,0.005
