step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.16,0.16,0.7352941176470589,50,171,310,0.010637833189684897,0.009053775815603633,0.0,0.0,0.0,0.0,0.008578645065426826,0.008937968872487545
2000,0.126,0.143,0.8382352941176471,57,210,470,0.001277454149593333,0.00042483839221278284,0.009017516699959599,0.008603890184568799,3.4081670432832087,2.485969420376327,0.0022554530073539353,0.0005071362004091497
3000,0.153,0.14633333333333334,0.8823529411764706,60,223,636,0.0001209007744310999,5.7224122525137374e-05,3.208128225725613e-05,2.458894241853714e-05,0.007455154048431026,0.005686035270417394,0.00014139765424988582,5.491292259830516e-05
4000,0.152,0.14775,0.8823529411764706,60,226,791,7.305884913110181e-05,1.9842152280682297e-05,1.466199618287072e-05,7.489159378015962e-06,0.003685705529546609,0.0018970075442157482,9.202498274316895e-05,2.899442189846013e-05
5000,0.083,0.1348,0.8823529411764706,60,231,879,5.401117775900604e-05,2.8869957633626712e-05,6.663713087706479e-06,5.901242369756182e-06,0.001809630932204631,0.0016196391467743912,7.268159907653171e-05,1.9387725875276372e-05
6000,0.084,0.12633333333333333,0.9264705882352942,63,237,969,4.414902438535743e-05,1.7772783660696823e-05,3.891781727274758e-06,4.1190801073745444e-06,0.001136449326186169,0.001223310161975381,6.228404178546043e-05,1.4845767183942372e-05
7000,0.121,0.12557142857142858,0.9264705882352942,63,237,1090,3.8385094319155614e-05,1.0726972961807784e-05,2.561051392261986e-06,2.4932586298361783e-06,0.0008060972784308963,0.00078592666980949,5.6151811490963156e-05,1.1132394283322355e-05
8000,0.135,0.12675,0.9264705882352942,63,238,1226,3.4304689749357445e-05,8.735307564822344e-06,2.269977031338149e-06,8.885864028738953e-07,0.0007630325735377429,0.00029516404287450207,5.062385534256464e-05,8.937259078265925e-06
9000,0.233,0.13855555555555554,0.9852941176470589,67,255,1475,3.0945025025093735e-05,1.3239762186354192e-05,2.263561675112441e-06,1.092395029866867e-06,0.0008011171881954633,0.0003856284360954788,5.7379993468202886e-05,7.904248071099574e-06
10000,0.082,0.1329,0.9852941176470589,67,255,1557,2.797248302291647e-05,4.244260111378954e-06,1.71185162643513e-06,5.054612438427595e-07,0.0006338191830162017,0.0001869834446577277,5.9650399906786336e-05,6.895372028338898e-06
