step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction
0,0.0,0.0,200.0,0.9125
10000,0.0,0.0,200.0,0.02675
20000,0.0,0.0,200.0,0.005
30000,0.9361000000000003,1.0,14.2,0.08450704225352113
40000,0.937,1.0,14.0,0.07142857142857142
50000,0.937,1.0,14.0,0.07142857142857142
60000,0.0,0.0,200.0,0.005
70000,0.9280000000000002,1.0,16.0,0.0625
80000,0.9266500000000001,1.0,16.3,0.07975460122699386
90000,0.9280000000000002,1.0,16.0,0.0625
100000,0.0,0.0,200.0,0.005
