step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.154,0.154,0.5,34,123,258,0.0075162449857679664,0.006777406914542753,0.0,0.0,0.0,0.0,0.0026739598251879215,0.006931946612894535
2000,0.137,0.1455,0.7058823529411765,48,171,440,0.000764821565337819,0.0003303754335171667,0.0065847519533640715,0.006304504764768125,2.731483687569072,2.551702776276863,0.0024242764234659263,0.00036688655385296444
3000,0.183,0.158,0.7058823529411765,48,183,634,9.651669608273218e-05,4.35280426579263e-05,3.401388274569349e-05,1.9057186067965273e-05,0.010867096819206216,0.006061888207242342,0.002384459899156354,3.917025554983411e-05
4000,0.188,0.1655,0.7794117647058824,53,189,828,5.686862791566106e-05,1.969902130467341e-05,1.5185322063963271e-05,5.9243360250247815e-06,0.005316221818794151,0.0020460241029906703,0.0019675388185423797,2.07455213949288e-05
5000,0.107,0.1538,0.8088235294117647,55,203,948,4.034089574263383e-05,2.2244411592808416e-05,7.126876438650189e-06,3.3139758575104495e-06,0.002723204030465183,0.0012351056685902535,0.0017186163403675892,1.4891614358020887e-05
6000,0.192,0.16016666666666668,0.9117647058823529,62,227,1163,3.3800197182169235e-05,1.524956414388443e-05,3.844238553559383e-06,1.5036279800755896e-06,0.001564502509044028,0.0006068912592475837,0.0015446861750097014,1.127893037346439e-05
7000,0.13,0.15585714285714286,0.9264705882352942,63,232,1298,3.022208932704346e-05,7.62201274402867e-06,1.996036070732561e-06,1.1050946696237045e-06,0.0008632363075923276,0.0004811368404924791,0.0013300807468767744,9.03159725748992e-06
8000,0.124,0.151875,0.9411764705882353,64,236,1426,2.5288123974713663e-05,1.6109609210140296e-05,1.7126725094473635e-06,2.491079116273351e-06,0.0007899043337981883,0.0011430406426202213,0.001246353328868281,7.81414404491443e-06
9000,0.114,0.14766666666666667,0.9558823529411765,65,249,1552,2.585241336897812e-05,1.0448564908564494e-05,1.5643214091572812e-06,1.0576192828102032e-06,0.000761379772054733,0.0005090434493295248,0.0011492480296874418,7.099273034555153e-06
10000,0.137,0.1466,0.9558823529411765,65,249,1689,2.3799963477305578e-05,4.121269528396547e-06,1.2489747521374035e-06,3.854217699221975e-07,0.000633500522102156,0.00019448091066288396,0.0010692619923502206,6.1849790622545695e-06
11000,0.142,0.1461818181818182,0.9558823529411765,65,250,1832,2.2045262511082784e-05,4.661422644414366e-06,1.0413265384376643e-06,6.229171247422271e-07,0.0005542053673763459,0.000328787952087533,0.0009657574966986431,5.50334529657448e-06
12000,0.148,0.14633333333333334,0.9558823529411765,65,251,1981,1.9816835607048847e-05,7.600010254479207e-06,9.819844037977148e-07,1.5552697369635748e-06,0.0005454642906203629,0.0008644164595518711,0.0008765696487098467,5.025314531167169e-06
13000,0.076,0.14092307692307693,0.9558823529411765,65,251,2057,1.9826174545749764e-05,2.73459477453809e-06,9.075948570936912e-07,4.950988131945874e-07,0.0005177829060179899,0.00028569657398771407,0.0008371943853708217,4.497016306345358e-06
14000,0.123,0.13964285714285715,0.9558823529411765,65,251,2180,1.953092874103506e-05,1.726755781602771e-06,5.400612443610761e-07,4.0630610126955805e-07,0.0003204609453556423,0.0002419247145698984,0.0007510422837221995,4.07784635592634e-06
15000,0.149,0.14026666666666668,0.9558823529411765,65,251,2329,1.848014692115502e-05,1.7624637718593495e-06,6.627578047770638e-07,3.22207216888036e-07,0.0004065616452814205,0.00019841295857506446,0.0007081789401272544,3.7403041651487e-06
16000,0.218,0.145125,0.9558823529411765,65,251,2547,1.8408459867998252e-05,1.1760848211555031e-06,9.014133949443129e-07,1.541202915354782e-07,0.0005716739068850269,9.785517303223737e-05,0.0007064344044047175,3.5737850962505034e-06
17000,0.068,0.14058823529411765,0.9705882352941176,66,255,2619,1.8124643167325037e-05,4.135047923534248e-06,6.565433870812686e-07,2.2330386829862678e-07,0.0004312897715683985,0.00014541674638105025,0.0006456871521295398,3.423590321631309e-06
18000,0.109,0.13883333333333334,0.9852941176470589,67,262,2735,1.7506599022520634e-05,6.095364248764971e-06,6.319713507981334e-07,2.960152636391654e-07,0.0004258644875042118,0.00019756562822851456,0.0006160310359045979,3.40983948694884e-06
19000,0.236,0.14394736842105263,0.9852941176470589,67,262,2971,1.68633097323205e-05,9.219909510392348e-07,7.051838947055808e-07,7.396051408313153e-08,0.00048718197743240834,5.086960155133196e-05,0.0005801794975850499,3.2253799906811764e-06
20000,0.299,0.1517,0.9852941176470589,67,262,3270,1.652874198499987e-05,5.052351049558579e-07,8.684330494233593e-07,1.9029904163042597e-07,0.0006138795349374376,0.00013411617653197514,0.0005476946479830076,3.1906554734177917e-06
21000,0.245,0.15614285714285714,0.9852941176470589,67,262,3515,1.625401166388563e-05,7.196115099408633e-07,6.656685734330439e-07,8.660023253911964e-08,0.000480625584046932,6.246722755007553e-05,0.0005052911046732333,3.1421316248270158e-06
22000,0.3,0.16268181818181818,0.9852941176470589,67,262,3815,1.5617179574292095e-05,3.71910524553495e-07,5.860847719911059e-07,2.0007073392288736e-08,0.00043314805782144843,1.4754364085786237e-05,0.0005006985574291321,3.126031920260175e-06
23000,0.303,0.16878260869565218,0.9852941176470589,67,262,4118,1.5516927139134788e-05,3.0263942811328775e-07,7.490394447885781e-07,2.746108591853415e-08,0.0005660632609483304,2.0722992337850376e-05,0.00048277019943634514,3.1472673475718694e-06
24000,0.189,0.169625,0.9852941176470589,67,262,4307,1.5170146633906933e-05,3.164772465091973e-07,6.582239952949171e-07,4.570348553482433e-08,0.0005076360874430077,3.51975668308977e-05,0.0004528845289896708,3.010593234364478e-06
25000,0.209,0.1712,0.9852941176470589,67,262,4516,1.4618800852559708e-05,2.50722038030288e-07,5.246914208162873e-07,2.9502958435610036e-08,0.00041156054812130176,2.3220746746531636e-05,0.0004260050219781988,2.990827335281665e-06
26000,0.215,0.1728846153846154,0.9852941176470589,67,262,4731,1.4543208944391958e-05,3.531904002474435e-07,5.623453182843785e-07,3.197117860814603e-08,0.00044961852453421765,2.5629522183338834e-05,0.0004267306828223809,2.972097933877649e-06
27000,0.22,0.17462962962962963,0.9852941176470589,67,262,4951,1.3924870468558353e-05,2.21430089298043e-07,6.307779089679984e-07,2.7202404103613495e-08,0.0005161643050825519,2.2176063656089696e-05,0.0003986723293419345,2.8395531868454783e-06
28000,0.267,0.17792857142857144,0.9852941176470589,67,262,5218,1.329187998737652e-05,2.1430588323488773e-07,6.205457994814227e-07,7.802563837658751e-08,0.0005158922519487376,6.48501274539052e-05,0.0003748508401258732,2.848175861686286e-06
29000,0.346,0.18372413793103448,0.9852941176470589,67,262,5564,1.345623452261809e-05,2.5600001670533304e-07,6.032949220679325e-07,2.70260511978594e-08,0.000510124804285535,2.2854569008818763e-05,0.00036765751873645057,2.8332169347322634e-06
30000,0.434,0.19206666666666666,0.9852941176470589,67,262,5998,1.3588042500587652e-05,2.3234481639794174e-07,6.226493427641921e-07,2.107568377847256e-08,0.0005352972634209076,1.8117225693758685e-05,0.0003591876360842434,2.903647028006162e-06
31000,0.593,0.205,0.9852941176470589,67,262,6591,1.3022999034346039e-05,2.2077208079364503e-07,5.803060706457595e-07,2.3341614029548428e-08,0.0005069815164990996,2.036740363481172e-05,0.0003533373536374711,2.971126870761509e-06
32000,0.388,0.21071875,0.9852941176470589,67,262,6979,1.2732393647357386e-05,2.1410100072504598e-07,4.312324860911383e-07,6.366786087448427e-08,0.00038215902127998447,5.6474626717191654e-05,0.00031364058068902525,3.0157981740330795e-06
33000,0.533,0.22048484848484848,0.9852941176470589,67,262,7512,1.2356176697752536e-05,2.2431144564159488e-07,5.842073726394401e-07,4.343079050237724e-08,0.0005256108932170402,3.913641761043914e-05,0.0003315097496652015,3.0541799815182457e-06
34000,0.453,0.2273235294117647,0.9852941176470589,67,262,7965,1.2174637793469441e-05,2.821561089569989e-07,5.114977332577958e-07,6.189598277752177e-08,0.0004676869945755831,5.660678253392588e-05,0.0003173024916977738,3.098005227343492e-06
35000,0.318,0.2299142857142857,0.9852941176470589,67,262,8283,1.2282187798284338e-05,2.2139836675485365e-07,5.252140193839731e-07,2.4907947006337358e-08,0.0004870903566323625,2.308258446067442e-05,0.00031917555265681587,3.0997297974408867e-06
36000,0.192,0.2288611111111111,0.9852941176470589,67,262,8475,1.1533964864677651e-05,2.1634528759452362e-07,5.415160136597782e-07,3.201976689513625e-08,0.0005098400136960545,3.0065791945557866e-05,0.00030986217969621065,3.0591845237495362e-06
37000,0.198,0.22802702702702704,0.9852941176470589,67,262,8673,1.1799358711446397e-05,2.2145057612769656e-07,4.018647538914317e-07,2.754362629026216e-08,0.00038248083159307086,2.6217798046770973e-05,0.00029565031498532336,2.9945845013799045e-06
38000,0.1,0.2246578947368421,0.9852941176470589,67,262,8773,1.1229559722778504e-05,2.0451317962195188e-07,5.138570304552559e-07,1.3103436431707552e-08,0.0004960035125299745,1.266696690159555e-05,0.00030258866476651745,2.941191629020068e-06
39000,0.228,0.22474358974358974,0.9852941176470589,67,262,9001,1.1919212451367026e-05,2.4896637606326904e-07,4.562389202028658e-07,2.126541723599304e-08,0.0004456986022521754,2.080447690427059e-05,0.00027866097674996126,2.8612987179030823e-06
40000,0.09,0.221375,0.9852941176470589,67,262,9091,1.2094220331467416e-05,3.171138304777502e-07,3.7131445525220546e-07,3.4672411711941035e-08,0.00036729519540500827,3.434464522224457e-05,0.00026929787534572824,2.791921738889869e-06
41000,0.145,0.21951219512195122,0.9852941176470589,67,262,9236,1.2021582739995712e-05,1.752418236118666e-07,6.188043228356602e-07,1.5676821589539945e-08,0.0006215120774267169,1.5702248059293544e-05,0.0002663838433327328,2.716865410036462e-06
42000,0.144,0.21771428571428572,0.9852941176470589,67,262,9380,1.1708904685924103e-05,1.8100077486659996e-07,5.418455752230026e-07,3.3630684123316116e-08,0.0005493120771187064,3.4085230746146796e-05,0.000262481753316024,2.727038858324704e-06
43000,0.019,0.21309302325581395,0.9852941176470589,67,262,9399,1.3151213519641284e-05,2.733582802671657e-07,5.465472464780569e-07,9.383796647865213e-09,0.000561214055919189,9.638452093101772e-06,0.0002564539060967945,2.638890960383833e-06
44000,0.142,0.21147727272727274,0.9852941176470589,67,262,9541,1.2343795717729527e-05,2.487868792304086e-07,6.803620267483369e-07,4.325667700955959e-08,0.0007058933734127668,4.488791660788257e-05,0.00024685506579589855,2.5782629315926895e-06
45000,0.133,0.20973333333333333,0.9852941176470589,67,262,9674,1.2101601017852396e-05,1.8962331133518443e-07,4.697528201813155e-07,2.83642548792271e-08,0.0004938067656199283,2.975424665378819e-05,0.00023536938030338205,2.5235731551447317e-06
