step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.187,0.187,0.4411764705882353,30,100,99,0.007696591982528329,0.00725379999587255,0.0,0.0,0.0,0.0,0.0024639833718538284,0.0074236392974853516
2000,0.136,0.1615,0.6470588235294118,44,157,154,0.00047875467669869335,0.00036858059264680514,0.00696299910230343,0.0067487372898203495,2.805596310855985,2.582362821213008,0.000816320249781711,0.0003623957905329007
3000,0.115,0.146,0.8235294117647058,56,202,197,3.473164048915825e-05,5.572074554187422e-05,2.4437235990025447e-05,2.5867092941388555e-05,0.007258168806830639,0.0076740332888321616,0.00029652042202360463,3.089845573322236e-05
4000,0.13,0.142,0.9411764705882353,64,231,222,1.1776068686231155e-05,1.859352432010338e-05,5.130312001710991e-06,5.454018208235314e-06,0.001664011037231065,0.0017619077323947241,0.00016715789627778577,1.569718430209832e-05
5000,0.149,0.1434,0.9411764705882353,64,235,226,5.287813306897945e-06,1.5165394679160327e-05,2.3786416440754277e-06,2.975771649958823e-06,0.0008317181386527163,0.001045593214496072,0.00010065833650514833,9.386048497390221e-06
6000,0.144,0.1435,0.9558823529411765,65,240,230,2.158494878538401e-06,1.2867182409868622e-05,7.946182710346269e-07,3.233300911511901e-06,0.0002968447829652826,0.0012351532661073956,8.233874621328142e-05,6.100977723463075e-06
7000,0.124,0.1407142857142857,0.9558823529411765,65,246,236,1.34144114471632e-06,1.146289514618993e-05,2.3462292352677094e-07,1.5968695865853416e-06,9.4700223378394e-05,0.0006391094106014191,7.538339025268215e-05,5.115777837772839e-06
8000,0.098,0.135375,0.9558823529411765,65,247,237,9.83531676564205e-07,1.2073810877511949e-05,2.0845723434942965e-07,2.453560270746347e-06,8.938830946942215e-05,0.0010501863299120467,7.208761426045385e-05,4.042483120542783e-06
9000,0.119,0.13355555555555557,0.9558823529411765,65,248,237,7.832127481692203e-07,3.942492436326487e-06,1.731714349284821e-07,7.627462249525287e-07,7.794160323609454e-05,0.0003475327515807067,6.896153324123588e-05,3.1234977207077465e-06
10000,0.055,0.1257,0.9705882352941176,66,254,243,6.416822998289718e-07,7.652648692556487e-06,9.756065641009958e-08,8.393547974023137e-07,4.607413152008262e-05,0.00039563965502981537,6.473096752233686e-05,2.651318131370317e-06
11000,0.123,0.12545454545454546,0.9705882352941176,66,254,243,5.225918377712932e-07,8.854047772011216e-07,8.414130686504927e-08,1.8157633616062528e-07,4.1761967530725706e-05,8.979818192130565e-05,6.0675567510770634e-05,2.0592977323303786e-06
12000,0.067,0.12058333333333333,0.9705882352941176,66,257,245,4.415933436497816e-07,3.910158049768488e-06,3.021767491618584e-08,4.5354982692579816e-07,1.558183005914299e-05,0.00023450540275506802,6.408245099828492e-05,1.63544907513824e-06
13000,0.086,0.11792307692307692,1.0,68,269,257,4.3413234359350943e-07,5.659258845875751e-06,5.826214847005293e-08,1.5142528482949923e-07,3.1394142385981455e-05,8.03097523972539e-05,8.274588492804468e-05,1.6716065855462148e-06
14000,0.077,0.115,1.0,68,270,258,3.990922878059579e-07,4.313006463897052e-06,1.0918407008523298e-07,4.0185757045157185e-07,6.04973005727826e-05,0.00022253718886330333,9.432512921921443e-05,1.460763603262194e-06
15000,0.139,0.1166,1.0,68,270,258,3.522739317965369e-07,1.3568082184736691e-06,5.9222018534547456e-08,2.806217227340829e-07,3.381492579659972e-05,0.00016137408539914255,0.00012654839022889063,1.2563115272996584e-06
16000,0.138,0.1179375,1.0,68,271,259,2.804409782143374e-07,2.28467586291808e-06,5.4848299866478926e-08,2.5671910171472985e-07,3.2456346818602234e-05,0.00015182272610360554,0.00015753112841048277,1.0566469249511101e-06
